input,output
The girl got distracted and lost sight of her parents.,La niña se distrajo y perdió de vista a sus padres.
"The girl wanted to, but could not, tell him the truth.","La chica quería, pero no podía, decirle la verdad."
The hijacker demanded a ransom of two million dollars.,El secuestrador pidió un rescate de dos millones de dólares.
"The largest English dictionary has over 450,000 words.",El mayor diccionario inglés tiene más de 450 000 palabras.
The main character is a man whose name we do not know.,El personaje principal es un hombre cuyo nombre no conocemos.
The main character is a man whose name we do not know.,El personaje principal es un hombre cuyo nombre desconocemos.
The man standing over there is the owner of the store.,El hombre parado ahí es el dueño de la tienda.
The man went out of his way to take me to the station.,El hombre se desvió de su camino para llevarme a la estación.
The meeting didn't last as long as I thought it would.,El encuentro no duró tanto como pensé que duraría.
The most beautiful words are those that speak of love.,Las frases más bellas son las que hablan de amor.
The movie is worth seeing at least two or three times.,Esta película merece ser vista al menos dos o tres veces.
The nation as a whole is in favor of political reform.,La nación entera está a favor de la reforma política.
The new law should take a bite out of organized crime.,La nueva ley debería eliminar algo del crimen organizado.
The news that the president was killed surprised them.,La noticia de que mataron al presidente los sorprendió.
The next train to the airport departs from platform 2.,El próximo tren hacia el aeropuerto sale de la plataforma 2.
The next train to the airport departs from platform 2.,El próximo tren hacia el aeropuerto sale del andén 2.
The northernmost part of the city is a maze of alleys.,La parte más septentrional de la ciudad es un laberinto de callejones.
The northernmost part of the city is a maze of alleys.,La región más al norte de la ciudad es un laberinto de callejones.
The office has been transferred up to the sixth floor.,La oficina ha sido trasladada a la sexta planta.
The old teacher began to talk about the good old days.,El viejo profesor empezó a hablar de los buenos días ya lejanos.
The patient was lying in the bed with his eyes closed.,El paciente estaba tumbado en la cama con los ojos cerrados.
The peacock's beautiful tail helps it attract females.,La bella cola del pavo ayuda a atraer a las hembras.
The picnic was held in the gym on account of the rain.,"A causa de la lluvia, el picnic se celebró en el gimnasio."
The picture you are looking at is a copy of a Picasso.,El cuadro que está mirando es una copia de un Picasso.
The plot was so complicated that I couldn't follow it.,La trama era tan complicada que no la pude seguir.
The plumber used many different tools to fix our sink.,El fontanero usó muchas herramientas diferentes para arreglar nuestro fregadero.
The police arrested the man who had murdered the girl.,La Policía arrestó al hombre que asesinó a la niña.
The policeman blamed the taxi driver for the accident.,El policía culpó al taxista por el accidente.
The policeman separated the two men who were fighting.,El policía separó a los dos hombres que estaban peleando.
The politician was not ashamed of having taken bribes.,Los políticos no se avergonzaban de recibir sobornos.
The population of Japan is larger than that of Canada.,La población de Japón es mayor que la de Canadá.
The problem is I don't remember where I parked my car.,El problema es que no recuerdo dónde estacioné mi auto.
The prosperity of a country depends upon its citizens.,La prosperidad de un país depende de sus ciudadanos.
The result of the election will be announced tomorrow.,El resultado de las elecciones será dado a conocer mañana.
The room was so dark that we could see nothing at all.,El cuarto estaba tan oscuro que no podíamos ver absolutamente nada.
The snowman had melted completely by the next morning.,A la mañana siguiente el muñeco de nieve estaba completamente derretido.
The speed of light is much greater than that of sound.,La velocidad de la luz es mucho mayor que la del sonido.
The teacher called the students in alphabetical order.,El profesor llamaba a los alumnos por orden alfabético.
The teacher wrote English sentences on the blackboard.,El profesor escribió frases en inglés en la pizarra.
"The telephone is ringing. If you want, I'll answer it.","El teléfono está sonando. Si quieres, contesto yo."
"The traveler fainted from hunger, but soon he came to.","El viajero se desmayó del hambre, pero pronto recuperó la consciencia."
The truth is I bent over backwards to accommodate Tom.,La verdad es que hice lo imposible para hospedar a Tom.
The window washer lost his grip and fell to his death.,El limpiaventanas perdió su asidero y se precipitó hacia su muerte.
The window washer lost his grip and fell to his death.,El limpiaventanas perdió su agarre y se precipitó hacia su muerte.
The witness identified the thief in the police lineup.,El testigo identificó al ladrón en la rueda de reconocimiento.
The woman who's sitting on the sofa is my grandmother.,La mujer sentada en el sofá es mi abuela.
The world began without man and shall end without him.,"El mundo comenzó sin el hombre, y así terminará."
The world began without man and shall end without him.,"El mundo comenzó sin el hombre, y terminará sin él."
There are more clouds today than there were yesterday.,Hoy hay más nubes que ayer.
"There are no shortcuts to the top, only to the bottom.","No hay atajos a la cima, sólo al abismo."
There are some things that are difficult to translate.,Hay algunas cosas que son difíciles de traducir.
There is no use crying for help. No one will hear you.,No tiene sentido llorar por ayuda. Nadie te oirá.
There must've been a tacit understanding between them.,Tiene que haber existido un acuerdo tácito entre ellos.
There must've been a tacit understanding between them.,Tiene que haber habido un acuerdo tácito entre ellos.
There used to be a big pine tree in front of my house.,Solía haber un gran pino en frente de mi casa.
There was a sudden drop in the temperature last night.,Anoche hubo un descenso repentino de temperatura.
There will be a dance Friday night at the high school.,Habrá un baile el viernes por la noche en el liceo.
There will be a dance Friday night at the high school.,Va a haber un baile el viernes por la noche en la prepa.
There will be a dance Friday night at the high school.,Habrá un baile el viernes por la noche en la prepa.
There's a man at the door who wants to speak with you.,Hay un hombre en la puerta que quiere hablar contigo.
There's something I need to tell you before you leave.,Hay algo que te necesito decir antes de que te vayas.
These measures can prevent the disease from spreading.,Estas medidas pueden impedir la propagación de la enfermedad.
They approached the tourists and asked them for money.,Ellos se aproximaron a los turistas y les pidieron dinero.
They are very proud of being students of that college.,Ellos están muy orgullosos de ser estudiantes de ese colegio.
They have nothing in common with the older generation.,Ellos no tienen nada en común con la generación antigua.
They insisted on my getting the work done by tomorrow.,Ellos me insistieron en que tuviera el trabajo listo para mañana.
"They left at 5 o'clock, so they ought to be home by 6.","Salieron a las 5 en punto, así que deberían estar en casa a las 6."
They looked for a place to take shelter from the rain.,Buscaron un lugar para ampararse de la lluvia.
They said they were dissatisfied with their low wages.,Dijeron que estaban insatisfechos con sus bajos salarios.
They said they were dissatisfied with their low wages.,Dijeron que sus bajos salarios no resultaban satisfactorios.
They supplied the soldiers with enough food and water.,Suministraron suficientes alimentos y agua a los soldados.
They were speaking a language that I didn't recognize.,Hablaban un idioma que no reconocí.
This big sofa is really not suitable for a small room.,Este sofá grande no es muy apropiado para una habitación pequeña.
